feature_ind,sketch_id
141,5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5_20
142,5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5_23
143,5650-cb4a9e85-a383-43f6-83e6-331e286811d1_11
144,5650-cb4a9e85-a383-43f6-83e6-331e286811d1_20
145,5650-cb4a9e85-a383-43f6-83e6-331e286811d1_21
146,5650-cb4a9e85-a383-43f6-83e6-331e286811d1_22
147,5650-cb4a9e85-a383-43f6-83e6-331e286811d1_25
148,5650-cb4a9e85-a383-43f6-83e6-331e286811d1_8
149,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_12
150,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_14
151,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_17
152,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_22
153,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_26
154,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_6
155,6224-40ab6004-b7c1-4d1d-a308-a061099290fc_1
156,6224-40ab6004-b7c1-4d1d-a308-a061099290fc_16
157,6224-40ab6004-b7c1-4d1d-a308-a061099290fc_18
158,6224-40ab6004-b7c1-4d1d-a308-a061099290fc_24
159,6224-40ab6004-b7c1-4d1d-a308-a061099290fc_25
160,6224-40ab6004-b7c1-4d1d-a308-a061099290fc_26
161,6224-40ab6004-b7c1-4d1d-a308-a061099290fc_27
162,6224-40ab6004-b7c1-4d1d-a308-a061099290fc_4
163,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_11
164,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_13
165,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_14
166,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_21
167,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_27
168,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_29
169,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_3
170,6486-e7055f99-5fec-4fb7-a7fd-7ebf49ba594f_1
171,6486-e7055f99-5fec-4fb7-a7fd-7ebf49ba594f_3
172,6486-e7055f99-5fec-4fb7-a7fd-7ebf49ba594f_5
